"filename", "language", "JSON", "Docker", "Markdown", "YAML", "Properties", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\load_bitacoras_dto\create-bitacora-estimacionCosecha.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 0, 11, 60
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\load_bitacoras_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\mazorca_dto\create-mazorca.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\mazorca_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\mazorca_dto\update-mazorca.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\parcelas_dto\create-parcela.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\parcelas_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\parcelas_dto\update-parcela.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\productor_dto\create-productor.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 1, 6, 38
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\productor_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\productor_dto\update-productor.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\propiedades_suelo_dto\create-propiedades-suelo.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\propiedades_suelo_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\propiedades_suelo_dto\update-propiedades-suelo.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\tipo_parcela_dto\create-tipo-parcela.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\tipo_parcela_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\tipo_parcela_dto\update-tipo-parcela.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\user_dto\create-user.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 43, 0, 0, 7, 50
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\user_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\user_dto\login-user.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\user_dto\update-user.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Middlewares\autorization.jwt.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 6, 12, 72
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Middlewares\autorized-role.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 2, 5, 23
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Middlewares\error.handler.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Middlewares\index.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Middlewares\validate-dto.middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 16, 5, 46
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\afectaciones-mazorca.route.ts", "TypeScript", 0, 0, 0, 0, 0, 89, 0, 0, 5, 94
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\analisis-suelo.route.ts", "TypeScript", 0, 0, 0, 0, 0, 109, 0, 0, 6, 115
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\asignacionTP.route.ts", "TypeScript", 0, 0, 0, 0, 0, 120, 0, 0, 7, 127
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\auth.route.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 3, 4, 66
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\cultivo.route.ts", "TypeScript", 0, 0, 0, 0, 0, 86, 0, 0, 5, 91
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\detalle-analisis-suelo.route.ts", "TypeScript", 0, 0, 0, 0, 0, 89, 0, 0, 5, 94
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\detalle-estimacion-cosecha.route.ts", "TypeScript", 0, 0, 0, 0, 0, 93, 0, 0, 5, 98
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\estimacion-cosecha.route.ts", "TypeScript", 0, 0, 0, 0, 0, 109, 0, 0, 6, 115
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\index.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\mazorca.route.ts", "TypeScript", 0, 0, 0, 0, 0, 105, 0, 0, 6, 111
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\movil-app.route.ts", "TypeScript", 0, 0, 0, 0, 0, 57, 0, 0, 3, 60
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\parcela.route.ts", "TypeScript", 0, 0, 0, 0, 0, 86, 0, 0, 6, 92
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\productor.route.ts", "TypeScript", 0, 0, 0, 0, 0, 106, 0, 0, 6, 112
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\propiedades-suelo.route.ts", "TypeScript", 0, 0, 0, 0, 0, 88, 0, 0, 5, 93
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\tipo-parcelas.route.ts", "TypeScript", 0, 0, 0, 0, 0, 88, 0, 0, 5, 93
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\user.route.ts", "TypeScript", 0, 0, 0, 0, 0, 86, 0, 0, 5, 91
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\afectaciones-mazorca.service.ts", "TypeScript", 0, 0, 0, 0, 0, 76, 0, 0, 7, 83
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\analisis-suelo.service.ts", "TypeScript", 0, 0, 0, 0, 0, 86, 0, 0, 11, 97
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\asignacionTP.service.ts", "TypeScript", 0, 0, 0, 0, 0, 169, 0, 13, 20, 202
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 349, 0, 38, 33, 420
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\cultivo.service.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 2, 8, 75
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\detalle-analisis-suelo.service.ts", "TypeScript", 0, 0, 0, 0, 0, 81, 0, 0, 10, 91
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\detalle-estimacion-cosecha.service.ts", "TypeScript", 0, 0, 0, 0, 0, 93, 0, 0, 10, 103
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\estimacion-cosecha.service.ts", "TypeScript", 0, 0, 0, 0, 0, 101, 0, 0, 11, 112
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\index.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\mazorca.service.ts", "TypeScript", 0, 0, 0, 0, 0, 85, 0, 0, 9, 94
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\movil-app.service.ts", "TypeScript", 0, 0, 0, 0, 0, 200, 0, 11, 19, 230
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\parcela.service.ts", "TypeScript", 0, 0, 0, 0, 0, 111, 0, 7, 14, 132
